Time	Node	Type	Packets	
13	11	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	0
14	3	CacheHits	0
14	3	CacheMisses	0
14	4	CacheHits	0
14	4	CacheMisses	0
14	5	CacheHits	0
14	5	CacheMisses	0
14	6	CacheHits	0
14	6	CacheMisses	0
14	7	CacheHits	0
14	7	CacheMisses	0
14	8	CacheHits	0
14	8	CacheMisses	0
14	9	CacheHits	0
14	9	CacheMisses	0
14	10	CacheHits	0
14	10	CacheMisses	0
14	11	CacheHits	0
14	11	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
15	5	CacheHits	0
15	5	CacheMisses	0
15	6	CacheHits	0
15	6	CacheMisses	0
15	7	CacheHits	0
15	7	CacheMisses	0
15	8	CacheHits	0
15	8	CacheMisses	0
15	9	CacheHits	0
15	9	CacheMisses	0
15	10	CacheHits	0
15	10	CacheMisses	0
15	11	CacheHits	0
15	11	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
16	5	CacheHits	0
16	5	CacheMisses	0
16	6	CacheHits	0
16	6	CacheMisses	0
16	7	CacheHits	0
16	7	CacheMisses	0
16	8	CacheHits	0
16	8	CacheMisses	0
16	9	CacheHits	0
16	9	CacheMisses	0
16	10	CacheHits	0
16	10	CacheMisses	0
16	11	CacheHits	0
16	11	CacheMisses	0
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
17	5	CacheHits	0
17	5	CacheMisses	0
17	6	CacheHits	0
17	6	CacheMisses	0
17	7	CacheHits	0
17	7	CacheMisses	0
17	8	CacheHits	0
17	8	CacheMisses	0
17	9	CacheHits	0
17	9	CacheMisses	0
17	10	CacheHits	0
17	10	CacheMisses	0
17	11	CacheHits	0
17	11	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
18	5	CacheHits	0
18	5	CacheMisses	0
18	6	CacheHits	0
18	6	CacheMisses	0
18	7	CacheHits	0
18	7	CacheMisses	0
18	8	CacheHits	0
18	8	CacheMisses	0
18	9	CacheHits	0
18	9	CacheMisses	0
18	10	CacheHits	0
18	10	CacheMisses	0
18	11	CacheHits	0
18	11	CacheMisses	0
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
19	5	CacheHits	0
19	5	CacheMisses	0
19	6	CacheHits	0
19	6	CacheMisses	0
19	7	CacheHits	0
19	7	CacheMisses	0
19	8	CacheHits	0
19	8	CacheMisses	0
19	9	CacheHits	0
19	9	CacheMisses	0
19	10	CacheHits	0
19	10	CacheMisses	0
19	11	CacheHits	0
19	11	CacheMisses	0
20	0	CacheHits	0
20	0	CacheMisses	0
20	1	CacheHits	0
20	1	CacheMisses	0
20	2	CacheHits	0
20	2	CacheMisses	0
20	3	CacheHits	0
20	3	CacheMisses	0
20	4	CacheHits	0
20	4	CacheMisses	0
20	5	CacheHits	0
20	5	CacheMisses	0
20	6	CacheHits	0
20	6	CacheMisses	0
20	7	CacheHits	0
20	7	CacheMisses	0
20	8	CacheHits	0
20	8	CacheMisses	0
20	9	CacheHits	0
20	9	CacheMisses	0
20	10	CacheHits	0
20	10	CacheMisses	0
