Time	Node	Type	Packets	
17	9	CacheHits	0
17	9	CacheMisses	0
18	0	CacheHits	10
18	0	CacheMisses	0
18	1	CacheHits	8
18	1	CacheMisses	2
18	2	CacheHits	10
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
18	5	CacheHits	2
18	5	CacheMisses	0
18	6	CacheHits	0
18	6	CacheMisses	0
18	7	CacheHits	0
18	7	CacheMisses	0
18	8	CacheHits	0
18	8	CacheMisses	0
18	9	CacheHits	0
18	9	CacheMisses	0
19	0	CacheHits	9
19	0	CacheMisses	1
19	1	CacheHits	7
19	1	CacheMisses	3
19	2	CacheHits	9
19	2	CacheMisses	1
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
19	5	CacheHits	5
19	5	CacheMisses	0
19	6	CacheHits	0
19	6	CacheMisses	0
19	7	CacheHits	0
19	7	CacheMisses	0
19	8	CacheHits	0
19	8	CacheMisses	0
19	9	CacheHits	0
19	9	CacheMisses	0
20	0	CacheHits	9
20	0	CacheMisses	1
20	1	CacheHits	10
20	1	CacheMisses	0
20	2	CacheHits	8
20	2	CacheMisses	2
20	3	CacheHits	0
20	3	CacheMisses	0
20	4	CacheHits	0
20	4	CacheMisses	0
20	5	CacheHits	3
20	5	CacheMisses	0
20	6	CacheHits	0
20	6	CacheMisses	0
20	7	CacheHits	0
20	7	CacheMisses	0
20	8	CacheHits	0
20	8	CacheMisses	0
20	9	CacheHits	0
20	9	CacheMisses	0
21	0	CacheHits	9
21	0	CacheMisses	1
21	1	CacheHits	9
21	1	CacheMisses	1
21	2	CacheHits	6
21	2	CacheMisses	4
21	3	CacheHits	0
21	3	CacheMisses	0
21	4	CacheHits	0
21	4	CacheMisses	0
21	5	CacheHits	6
21	5	CacheMisses	0
21	6	CacheHits	0
21	6	CacheMisses	0
21	7	CacheHits	0
21	7	CacheMisses	0
21	8	CacheHits	0
21	8	CacheMisses	0
21	9	CacheHits	0
21	9	CacheMisses	0
22	0	CacheHits	10
22	0	CacheMisses	0
22	1	CacheHits	10
22	1	CacheMisses	0
22	2	CacheHits	10
22	2	CacheMisses	0
22	3	CacheHits	0
22	3	CacheMisses	0
22	4	CacheHits	0
22	4	CacheMisses	0
22	5	CacheHits	0
22	5	CacheMisses	0
22	6	CacheHits	0
22	6	CacheMisses	0
22	7	CacheHits	0
22	7	CacheMisses	0
22	8	CacheHits	0
22	8	CacheMisses	0
22	9	CacheHits	0
22	9	CacheMisses	0
23	0	CacheHits	8
23	0	CacheMisses	2
23	1	CacheHits	10
23	1	CacheMisses	0
23	2	CacheHits	8
23	2	CacheMisses	2
23	3	CacheHits	0
23	3	CacheMisses	0
23	4	CacheHits	0
23	4	CacheMisses	0
23	5	CacheHits	4
23	5	CacheMisses	0
23	6	CacheHits	0
23	6	CacheMisses	0
23	7	CacheHits	0
23	7	CacheMisses	0
23	8	CacheHits	0
23	8	CacheMisses	0
23	9	CacheHits	0
23	9	CacheMisses	0
24	0	CacheHits	8
24	0	CacheMisses	2
24	1	CacheHits	6
24	1	CacheMisses	4
24	2	CacheHits	9
24	2	CacheMisses	1
24	3	CacheHits	0
24	3	CacheMisses	1
24	4	CacheHits	0
24	4	CacheMisses	0
24	5	CacheHits	6
24	5	CacheMisses	1
24	6	CacheHits	0
24	6	CacheMisses	1
24	7	CacheHits	0
24	7	CacheMisses	1
24	8	CacheHits	0
24	8	CacheMisses	1
24	9	CacheHits	0
24	9	CacheMisses	0
25	0	CacheHits	9
25	0	CacheMisses	1
25	1	CacheHits	10
25	1	CacheMisses	0
25	2	CacheHits	7
25	2	CacheMisses	3
25	3	CacheHits	0
25	3	CacheMisses	1
25	4	CacheHits	0
25	4	CacheMisses	0
25	5	CacheHits	3
25	5	CacheMisses	1
25	6	CacheHits	0
25	6	CacheMisses	1
25	7	CacheHits	0
25	7	CacheMisses	1
25	8	CacheHits	0
25	8	CacheMisses	1
25	9	CacheHits	0
25	9	CacheMisses	0
26	0	CacheHits	9
26	0	CacheMisses	1
26	1	CacheHits	9
26	1	CacheMisses	1
26	2	CacheHits	10
26	2	CacheMisses	0
26	3	CacheHits	0
26	3	CacheMisses	0
26	4	CacheHits	0
26	4	CacheMisses	0
26	5	CacheHits	2
26	5	CacheMisses	0
26	6	CacheHits	0
26	6	CacheMisses	0
26	7	CacheHits	0
26	7	CacheMisses	0
26	8	CacheHits	0
26	8	CacheMisses	0
26	9	CacheHits	0
26	9	CacheMisses	0
27	0	CacheHits	9
27	0	CacheMisses	1
27	1	CacheHits	10
27	1	CacheMisses	0
27	2	CacheHits	10
27	2	CacheMisses	0
27	3	CacheHits	0
27	3	CacheMisses	0
27	4	CacheHits	0
27	4	CacheMisses	0
27	5	CacheHits	1
27	5	CacheMisses	0
27	6	CacheHits	0
27	6	CacheMisses	0
27	7	CacheHits	0
27	7	CacheMisses	0
27	8	CacheHits	0
27	8	CacheMisses	0
27	9	CacheHits	0
27	9	CacheMisses	0
28	0	CacheHits	8
28	0	CacheMisses	2
28	1	CacheHits	9
28	1	CacheMisses	1
28	2	CacheHits	10
28	2	CacheMisses	0
28	3	CacheHits	0
28	3	CacheMisses	0
28	4	CacheHits	0
28	4	CacheMisses	0
28	5	CacheHits	3
28	5	CacheMisses	0
28	6	CacheHits	0
28	6	CacheMisses	0
28	7	CacheHits	0
28	7	CacheMisses	0
28	8	CacheHits	0
28	8	CacheMisses	0
28	9	CacheHits	0
28	9	CacheMisses	0
29	0	CacheHits	10
29	0	CacheMisses	0
29	1	CacheHits	10
29	1	CacheMisses	0
29	2	CacheHits	8
29	2	CacheMisses	2
29	3	CacheHits	0
29	3	CacheMisses	0
29	4	CacheHits	0
29	4	CacheMisses	0
29	5	CacheHits	2
29	5	CacheMisses	0
29	6	CacheHits	0
29	6	CacheMisses	0
29	7	CacheHits	0
29	7	CacheMisses	0
29	8	CacheHits	0
29	8	CacheMisses	0
29	9	CacheHits	0
29	9	CacheMisses	0
30	0	CacheHits	7
30	0	CacheMisses	3
30	1	CacheHits	8
30	1	CacheMisses	2
30	2	CacheHits	9
30	2	CacheMisses	1
30	3	CacheHits	0
30	3	CacheMisses	0
30	4	CacheHits	0
30	4	CacheMisses	0
30	5	CacheHits	6
30	5	CacheMisses	0
30	6	CacheHits	0
30	6	CacheMisses	0
30	7	CacheHits	0
30	7	CacheMisses	0
30	8	CacheHits	0
30	8	CacheMisses	0
30	9	CacheHits	0
30	9	CacheMisses	0
31	0	CacheHits	10
31	0	CacheMisses	0
31	1	CacheHits	9
31	1	CacheMisses	1
31	2	CacheHits	9
31	2	CacheMisses	1
31	3	CacheHits	0
31	3	CacheMisses	0
31	4	CacheHits	0
31	4	CacheMisses	0
31	5	CacheHits	2
31	5	CacheMisses	0
31	6	CacheHits	0
31	6	CacheMisses	0
31	7	CacheHits	0
31	7	CacheMisses	0
31	8	CacheHits	0
31	8	CacheMisses	0
31	9	CacheHits	0
31	9	CacheMisses	0
32	0	CacheHits	10
32	0	CacheMisses	0
32	1	CacheHits	10
32	1	CacheMisses	0
32	2	CacheHits	9
32	2	CacheMisses	1
32	3	CacheHits	0
32	3	CacheMisses	0
32	4	CacheHits	0
32	4	CacheMisses	0
32	5	CacheHits	1
32	5	CacheMisses	0
32	6	CacheHits	0
32	6	CacheMisses	0
32	7	CacheHits	0
32	7	CacheMisses	0
32	8	CacheHits	0
32	8	CacheMisses	0
32	9	CacheHits	0
32	9	CacheMisses	0
33	0	CacheHits	10
33	0	CacheMisses	0
33	1	CacheHits	10
33	1	CacheMisses	0
33	2	CacheHits	10
33	2	CacheMisses	0
33	3	CacheHits	0
33	3	CacheMisses	0
33	4	CacheHits	0
33	4	CacheMisses	0
33	5	CacheHits	0
33	5	CacheMisses	0
33	6	CacheHits	0
33	6	CacheMisses	0
33	7	CacheHits	0
33	7	CacheMisses	0
33	8	CacheHits	0
33	8	CacheMisses	0
33	9	CacheHits	0
33	9	CacheMisses	0
34	0	CacheHits	10
34	0	CacheMisses	0
34	1	CacheHits	8
34	1	CacheMisses	2
34	2	CacheHits	10
34	2	CacheMisses	0
34	3	CacheHits	0
34	3	CacheMisses	0
34	4	CacheHits	0
34	4	CacheMisses	0
34	5	CacheHits	2
34	5	CacheMisses	0
34	6	CacheHits	0
34	6	CacheMisses	0
34	7	CacheHits	0
34	7	CacheMisses	0
34	8	CacheHits	0
34	8	CacheMisses	0
34	9	CacheHits	0
34	9	CacheMisses	0
35	0	CacheHits	10
35	0	CacheMisses	0
35	1	CacheHits	9
35	1	CacheMisses	1
35	2	CacheHits	10
35	2	CacheMisses	0
35	3	CacheHits	0
35	3	CacheMisses	0
35	4	CacheHits	0
35	4	CacheMisses	0
35	5	CacheHits	1
35	5	CacheMisses	0
35	6	CacheHits	0
35	6	CacheMisses	0
35	7	CacheHits	0
35	7	CacheMisses	0
35	8	CacheHits	0
35	8	CacheMisses	0
35	9	CacheHits	0
35	9	CacheMisses	0
36	0	CacheHits	9
36	0	CacheMisses	1
36	1	CacheHits	10
36	1	CacheMisses	0
36	2	CacheHits	10
36	2	CacheMisses	0
36	3	CacheHits	0
36	3	CacheMisses	0
36	4	CacheHits	0
36	4	CacheMisses	0
36	5	CacheHits	1
36	5	CacheMisses	0
36	6	CacheHits	0
36	6	CacheMisses	0
36	7	CacheHits	0
36	7	CacheMisses	0
36	8	CacheHits	0
36	8	CacheMisses	0
36	9	CacheHits	0
36	9	CacheMisses	0
37	0	CacheHits	10
37	0	CacheMisses	0
37	1	CacheHits	9
37	1	CacheMisses	1
37	2	CacheHits	10
37	2	CacheMisses	0
37	3	CacheHits	0
37	3	CacheMisses	0
37	4	CacheHits	0
37	4	CacheMisses	0
37	5	CacheHits	1
37	5	CacheMisses	0
37	6	CacheHits	0
37	6	CacheMisses	0
37	7	CacheHits	0
37	7	CacheMisses	0
37	8	CacheHits	0
37	8	CacheMisses	0
37	9	CacheHits	0
37	9	CacheMisses	0
38	0	CacheHits	9
38	0	CacheMisses	1
38	1	CacheHits	9
38	1	CacheMisses	1
38	2	CacheHits	10
38	2	CacheMisses	0
38	3	CacheHits	0
38	3	CacheMisses	0
38	4	CacheHits	0
38	4	CacheMisses	0
38	5	CacheHits	2
38	5	CacheMisses	0
38	6	CacheHits	0
38	6	CacheMisses	0
38	7	CacheHits	0
38	7	CacheMisses	0
38	8	CacheHits	0
38	8	CacheMisses	0
38	9	CacheHits	0
38	9	CacheMisses	0
39	0	CacheHits	10
39	0	CacheMisses	0
39	1	CacheHits	10
39	1	CacheMisses	0
39	2	CacheHits	10
39	2	CacheMisses	0
39	3	CacheHits	0
39	3	CacheMisses	0
39	4	CacheHits	0
39	4	CacheMisses	0
39	5	CacheHits	0
39	5	CacheMisses	0
39	6	CacheHits	0
39	6	CacheMisses	0
39	7	CacheHits	0
39	7	CacheMisses	0
39	8	CacheHits	0
39	8	CacheMisses	0
39	9	CacheHits	0
39	9	CacheMisses	0
40	0	CacheHits	10
40	0	CacheMisses	0
40	1	CacheHits	10
40	1	CacheMisses	0
40	2	CacheHits	10
40	2	CacheMisses	0
40	3	CacheHits	0
40	3	CacheMisses	0
40	4	CacheHits	0
40	4	CacheMisses	0
40	5	CacheHits	0
40	5	CacheMisses	0
40	6	CacheHits	0
40	6	CacheMisses	0
40	7	CacheHits	0
40	7	CacheMisses	0
40	8	CacheHits	0
40	8	CacheMisses	0
40	9	CacheHits	0
40	9	CacheMisses	0
41	0	CacheHits	10
41	0	CacheMisses	0
41	1	CacheHits	10
41	1	CacheMisses	0
41	2	CacheHits	9
41	2	CacheMisses	1
41	3	CacheHits	0
41	3	CacheMisses	0
41	4	CacheHits	0
41	4	CacheMisses	0
41	5	CacheHits	1
41	5	CacheMisses	0
41	6	CacheHits	0
41	6	CacheMisses	0
41	7	CacheHits	0
41	7	CacheMisses	0
41	8	CacheHits	0
41	8	CacheMisses	0
41	9	CacheHits	0
41	9	CacheMisses	0
42	0	CacheHits	9
42	0	CacheMisses	1
42	1	CacheHits	9
42	1	CacheMisses	1
42	2	CacheHits	10
42	2	CacheMisses	0
42	3	CacheHits	0
42	3	CacheMisses	0
42	4	CacheHits	0
42	4	CacheMisses	0
42	5	CacheHits	2
42	5	CacheMisses	0
42	6	CacheHits	0
42	6	CacheMisses	0
42	7	CacheHits	0
42	7	CacheMisses	0
42	8	CacheHits	0
42	8	CacheMisses	0
42	9	CacheHits	0
42	9	CacheMisses	0
43	0	CacheHits	9
43	0	CacheMisses	1
43	1	CacheHits	10
43	1	CacheMisses	0
43	2	CacheHits	10
43	2	CacheMisses	0
43	3	CacheHits	0
43	3	CacheMisses	0
43	4	CacheHits	0
43	4	CacheMisses	0
43	5	CacheHits	1
43	5	CacheMisses	0
43	6	CacheHits	0
43	6	CacheMisses	0
43	7	CacheHits	0
43	7	CacheMisses	0
43	8	CacheHits	0
43	8	CacheMisses	0
43	9	CacheHits	0
43	9	CacheMisses	0
44	0	CacheHits	10
44	0	CacheMisses	0
44	1	CacheHits	10
44	1	CacheMisses	0
44	2	CacheHits	10
44	2	CacheMisses	0
44	3	CacheHits	0
44	3	CacheMisses	0
44	4	CacheHits	0
44	4	CacheMisses	0
44	5	CacheHits	0
44	5	CacheMisses	0
44	6	CacheHits	0
44	6	CacheMisses	0
44	7	CacheHits	0
