Time	Node	Type	Packets	
22	p1	CacheMisses	0
22	p2	CacheHits	0
22	p2	CacheMisses	0
22	r1	CacheHits	0
22	r1	CacheMisses	0
22	r2	CacheHits	0
22	r2	CacheMisses	0
22	r3	CacheHits	0
22	r3	CacheMisses	0
22	r4	CacheHits	0
22	r4	CacheMisses	0
22	6	CacheHits	0
22	6	CacheMisses	0
22	7	CacheHits	0
22	7	CacheMisses	0
22	8	CacheHits	0
22	8	CacheMisses	0
22	9	CacheHits	0
22	9	CacheMisses	0
22	10	CacheHits	0
22	10	CacheMisses	0
22	11	CacheHits	0
22	11	CacheMisses	0
23	p1	CacheHits	0
23	p1	CacheMisses	0
23	p2	CacheHits	0
23	p2	CacheMisses	0
23	r1	CacheHits	0
23	r1	CacheMisses	0
23	r2	CacheHits	0
23	r2	CacheMisses	0
23	r3	CacheHits	0
23	r3	CacheMisses	0
23	r4	CacheHits	0
23	r4	CacheMisses	0
23	6	CacheHits	0
23	6	CacheMisses	0
23	7	CacheHits	0
23	7	CacheMisses	0
23	8	CacheHits	0
23	8	CacheMisses	0
23	9	CacheHits	0
23	9	CacheMisses	0
23	10	CacheHits	0
23	10	CacheMisses	0
23	11	CacheHits	0
23	11	CacheMisses	0
24	p1	CacheHits	0
24	p1	CacheMisses	0
24	p2	CacheHits	0
24	p2	CacheMisses	0
24	r1	CacheHits	0
24	r1	CacheMisses	0
24	r2	CacheHits	0
24	r2	CacheMisses	0
24	r3	CacheHits	0
24	r3	CacheMisses	0
24	r4	CacheHits	0
24	r4	CacheMisses	0
24	6	CacheHits	0
24	6	CacheMisses	0
24	7	CacheHits	0
24	7	CacheMisses	0
24	8	CacheHits	0
24	8	CacheMisses	0
24	9	CacheHits	0
24	9	CacheMisses	0
24	10	CacheHits	0
24	10	CacheMisses	0
24	11	CacheHits	0
24	11	CacheMisses	0
25	p1	CacheHits	0
25	p1	CacheMisses	0
25	p2	CacheHits	0
25	p2	CacheMisses	0
25	r1	CacheHits	0
25	r1	CacheMisses	0
25	r2	CacheHits	0
25	r2	CacheMisses	0
25	r3	CacheHits	0
25	r3	CacheMisses	0
25	r4	CacheHits	0
25	r4	CacheMisses	0
25	6	CacheHits	0
25	6	CacheMisses	0
25	7	CacheHits	0
25	7	CacheMisses	0
25	8	CacheHits	0
25	8	CacheMisses	0
25	9	CacheHits	0
25	9	CacheMisses	0
25	10	CacheHits	0
25	10	CacheMisses	0
25	11	CacheHits	0
25	11	CacheMisses	0
26	p1	CacheHits	0
26	p1	CacheMisses	0
26	p2	CacheHits	0
26	p2	CacheMisses	0
26	r1	CacheHits	0
26	r1	CacheMisses	0
26	r2	CacheHits	0
26	r2	CacheMisses	0
26	r3	CacheHits	0
26	r3	CacheMisses	0
26	r4	CacheHits	0
26	r4	CacheMisses	0
26	6	CacheHits	0
26	6	CacheMisses	0
26	7	CacheHits	0
26	7	CacheMisses	0
26	8	CacheHits	0
26	8	CacheMisses	0
26	9	CacheHits	0
26	9	CacheMisses	0
26	10	CacheHits	0
26	10	CacheMisses	0
26	11	CacheHits	0
26	11	CacheMisses	0
27	p1	CacheHits	0
27	p1	CacheMisses	0
27	p2	CacheHits	0
27	p2	CacheMisses	0
27	r1	CacheHits	0
27	r1	CacheMisses	0
27	r2	CacheHits	0
27	r2	CacheMisses	0
27	r3	CacheHits	0
27	r3	CacheMisses	0
27	r4	CacheHits	0
27	r4	CacheMisses	0
27	6	CacheHits	0
27	6	CacheMisses	0
27	7	CacheHits	0
27	7	CacheMisses	0
27	8	CacheHits	0
27	8	CacheMisses	0
27	9	CacheHits	0
27	9	CacheMisses	0
27	10	CacheHits	0
27	10	CacheMisses	0
27	11	CacheHits	0
27	11	CacheMisses	0
28	p1	CacheHits	0
28	p1	CacheMisses	0
28	p2	CacheHits	0
28	p2	CacheMisses	0
28	r1	CacheHits	0
28	r1	CacheMisses	0
28	r2	CacheHits	0
28	r2	CacheMisses	0
28	r3	CacheHits	0
28	r3	CacheMisses	0
28	r4	CacheHits	0
28	r4	CacheMisses	0
28	6	CacheHits	0
28	6	CacheMisses	0
28	7	CacheHits	0
28	7	CacheMisses	0
28	8	CacheHits	0
28	8	CacheMisses	0
28	9	CacheHits	0
28	9	CacheMisses	0
28	10	CacheHits	0
28	10	CacheMisses	0
28	11	CacheHits	0
28	11	CacheMisses	0
29	p1	CacheHits	0
29	p1	CacheMisses	0
29	p2	CacheHits	0
29	p2	CacheMisses	0
29	r1	CacheHits	0
29	r1	CacheMisses	0
29	r2	CacheHits	0
29	r2	CacheMisses	0
